,2009_1,2013_2,2009_3,2009_4,2013_5,2009_6,2013_7,2009_8,2013_9,2013_10,2013_11,2013_12,2014_13,2013_14,2013_15,2013_16,2009_17,2001,2013_19,2014_20,2013_21,2005_22,2005_23,2011_24,2013_25,2005_26,2011_27,2013_28,2013_29,2013_30,2013_31,2013_32,2013_33,2013_34,2013_35,2013_36,2013_37,2013_38,2013_39,2013_40,2010_41,2011_42,2011_43,2013_44,2013_45,2013_46,2011_47,2013_48,2013_49,2011_50,2013_51,2009_52,2013_53,2013_54,2005_55,2010_56,2013_57,2009_58,2009_59,2013_60,2013_61,2006,2007,2013_64,2011,2013,2009_67
0,43.75,7.49,0.0,185.36,32.3,0.0,5.83,0.0,3.0,98.9,0.0,4.14,176.79,8.96,5.48,207.05,43.75,88.98,22.93,2.66,2.68,212.71,44.28,98.55,3.58,43.85,73.8,44.78,54.63,15.93,12.24,19.0,6.75,62.01,5.88,16.04,-77.67,9.33,-77.67,0.73,20.38,9.34,0.0,21.77,57.59,17.56,94.05,4.97,7458.0,66.02,1.07,185.36,-3.61,4.24,1.16,53.27,90.0,8.75,10.4,10.96,4.14,0.88,12.94,6.6,13.36,8.26,8.5
1,25.0,3.03,0.0,269.94,39.6,0.0,22.29,0.0,3.0,99.18,0.0,-9.09,152.31,0.0,0.0,28.8,25.0,100.0,55.94,0.0,0.0,261.93,49.18,0.0,0.0,52.75,71.6,48.48,73.68,16.67,5.13,2.56,41.03,51.28,18.18,19.39,717.01,0.0,717.01,0.83,12.46,0.0,0.0,16.49,49.1,13.62,100.0,2.73,330.0,74.44,0.0,269.94,0.0,0.24,0.18,53.48,107.5,103.45,92.02,0.0,-9.09,6.53,10.73,17.44,21.29,25.48,14.93
2,30.77,12.65,0.0,250.51,39.7,0.0,2.89,9.77,3.0,99.45,0.0,-0.62,178.4,7.71,3.81,603.09,30.77,94.7,26.77,3.11,3.07,480.39,92.71,84.95,3.53,42.44,67.2,51.22,52.23,15.87,20.29,13.43,2.19,64.09,4.94,14.52,45.68,6.19,45.68,0.76,4.53,0.0,60.04,23.01,58.27,16.39,84.89,2.07,9758.0,80.36,1.55,250.51,-2.88,12.12,2.16,35.68,78.2,8.6,14.6,8.33,-0.62,0.82,8.6,6.18,11.36,27.56,18.13
3,80.0,56.03,0.0,326.34,25.8,46.62,17.81,0.0,1.0,99.18,0.0,30.17,282.51,2.16,2.16,65.01,80.0,100.0,32.95,0.0,0.0,301.7,39.12,0.0,3.85,52.75,66.1,64.66,59.23,12.91,14.41,30.51,7.63,47.46,12.93,21.23,227.42,0.0,227.42,1.75,8.85,0.0,0.0,21.61,59.9,17.71,100.0,1.75,457.0,81.7,0.0,326.34,-4.31,4.44,3.71,67.0,112.9,5.03,37.3,32.33,30.17,1.59,8.34,34.02,16.82,9.81,24.1
4,33.33,10.3,0.0,114.6,31.5,0.0,4.88,4.98,2.0,100.0,27.52,3.92,154.29,3.43,2.94,37.02,33.33,98.11,50.95,4.88,4.91,331.52,64.61,63.16,2.06,28.6,73.4,40.22,65.15,15.75,12.08,17.45,36.58,33.89,14.22,18.25,161.45,4.9,161.45,0.76,371.13,0.0,60.13,15.27,54.52,18.67,100.0,4.17,2038.0,75.42,0.0,114.6,8.34,0.88,0.73,51.55,109.3,4.49,9.97,15.2,3.92,3.98,20.39,23.37,22.76,13.72,14.97
5,20.0,1.29,0.0,338.98,38.7,0.0,9.71,0.0,3.0,100.0,0.0,15.52,205.97,7.76,2.59,117.56,20.0,96.88,26.94,12.9,0.0,198.13,24.91,0.0,4.26,28.8,73.4,24.58,53.69,11.95,8.0,20.0,22.67,49.33,6.47,20.39,154.71,0.0,154.71,0.73,76.4,0.0,0.0,21.08,49.92,14.1,100.0,10.39,770.0,75.94,0.0,338.98,-5.17,4.52,4.62,37.85,110.5,4.88,16.95,24.58,15.52,4.53,22.03,39.49,8.09,24.05,40.98
6,66.67,10.94,0.0,64.44,49.0,0.0,10.41,88.89,3.0,100.0,0.0,0.0,115.58,0.0,0.0,63.2,66.67,100.0,3.74,0.0,0.0,249.98,33.18,0.0,0.0,41.51,72.1,39.39,63.64,21.56,7.69,11.54,26.92,53.85,6.56,14.22,222.98,0.0,222.98,0.72,41.48,0.0,0.0,21.59,63.52,26.55,100.0,0.67,450.0,75.12,0.0,64.44,13.13,1.95,4.25,53.7,130.9,9.32,33.33,8.75,0.0,10.03,15.05,4.65,13.86,28.78,32.79
7,66.67,12.31,0.0,215.87,43.2,31.75,18.81,0.0,3.0,99.18,0.0,15.38,202.16,0.0,0.0,25.41,66.67,98.86,52.11,0.0,0.0,359.25,63.51,0.0,14.29,52.75,71.8,30.77,68.59,19.25,11.63,16.28,27.91,44.19,18.46,17.7,192.53,0.0,192.53,1.13,35.26,0.0,0.0,18.92,51.35,18.15,91.67,0.93,322.0,84.13,0.0,215.87,-3.08,0.66,0.39,68.91,120.1,1.79,3.17,18.46,15.38,3.93,6.95,9.9,25.15,28.98,19.61
8,59.64,21.14,0.0,360.57,45.9,11.43,6.03,14.29,3.0,99.18,0.0,0.0,161.17,10.29,2.29,225.42,60.61,95.0,56.39,5.74,5.69,301.24,43.29,0.0,5.71,52.75,59.9,35.43,65.97,18.62,15.94,16.67,7.25,60.14,6.86,17.14,87.39,5.73,87.39,0.62,0.0,0.0,0.0,18.92,55.62,16.83,100.0,7.46,1756.0,84.16,0.0,360.57,6.86,2.52,0.13,72.56,89.5,19.96,36.58,8.57,0.0,1.55,5.86,8.93,17.68,24.06,7.25
9,75.0,5.87,0.0,128.96,24.1,0.0,3.39,0.0,3.0,100.0,0.0,7.59,129.9,4.14,1.73,144.44,75.0,91.3,42.25,3.47,0.0,269.73,13.71,100.0,4.69,21.02,78.5,24.84,55.05,9.23,17.93,12.5,5.43,64.13,3.11,22.47,64.28,6.84,64.28,0.68,8.56,0.0,95.06,20.75,65.36,22.12,96.53,8.43,2870.0,82.56,0.0,128.96,10.7,5.76,57.99,33.57,112.3,9.94,47.9,11.73,7.59,4.55,15.25,68.13,11.93,8.14,8.85
