,Municipio,latitud,longitud,Prediccion,part_pred_2019
0,Abadiño,43.1526506,-2.6079995,2,66
1,Abaltzisketa,43.047841999999996,-2.1052186,1,78
2,Abanto y Ciérvana-Abanto Zierbena,43.3169917,-3.0742539,2,64
3,Aduna,43.20381679999999,-2.0500990000000003,1,74
4,Aia,43.236546999999995,-2.1486667,2,77
5,Aizarnazabal,43.2557918,-2.2362989,1,81
6,Ajangiz,43.309514899999996,-2.6615317000000003,1,78
7,Albiztur,43.129495399999996,-2.1374207999999997,1,71
8,Alegia,43.1004352,-2.0983582000000003,2,72
9,Alegría-Dulantzi,42.842414500000004,-2.512674,2,68
10,Alkiza,43.1725845,-2.1089901,1,73
11,Alonsotegi,43.2460224,-2.9890455,2,70
12,Altzaga,43.0645573,-2.1543131,1,84
13,Altzo,43.1004025,-2.0842078,1,74
14,Amezketa,43.0489646,-2.0878104,1,75
15,Amorebieta-Etxano,43.2164193,-2.7358695,2,65
16,Amoroto,43.3267938,-2.5132747,1,75
17,Amurrio,43.0525066,-3.000896,2,68
18,Andoain,43.2183341,-2.019888,2,63
19,Anoeta,43.1620711,-2.0712453999999996,2,70
20,Antzuola,43.0991881,-2.3819341,2,72
21,Arakaldo,43.152772999999996,-2.9349498,1,74
22,Arama,43.06346729999999,-2.1655819,1,74
23,Aramaio,43.035206099999996,-2.5857615000000003,2,77
24,Arantzazu,42.9791292,-2.3990537,1,82
25,Areatza,43.1214494,-2.7694127999999996,1,80
26,Aretxabaleta,43.0359732,-2.5036785,2,63
27,Armiñón,42.722587,-2.8722115,1,73
28,Arraia-Maeztu,42.740263299999995,-2.4475474999999998,1,68
29,Arrankudiaga,43.17711920000001,-2.934703,1,81
30,Arrasate/Mondragón,43.0656783,-2.4900778999999997,2,66
31,Arratzu,43.3189596,-2.6452172000000003,1,75
32,Arratzua-Ubarrundia,42.888113,-2.5922529,1,70
33,Arrieta,43.3416679,-2.7693167,1,77
34,Arrigorriaga,43.2065921,-2.8873537000000002,2,61
35,Artea,43.1334436,-2.7843202999999996,1,81
36,Artzentales,43.2514342,-3.2204577000000003,1,77
37,Artziniega,43.1290166,-3.1414572999999995,2,73
38,Asparrena,42.8861126,-2.2851266,1,73
39,Asteasu,43.1928306,-2.0953614,2,74
40,Astigarraga,43.2815684,-1.9474769,2,66
41,Ataun,42.9776634,-2.1813897,2,76
42,Atxondo,43.1302284,-2.5856042,2,75
43,Aulesti,43.296423,-2.5628139,1,82
44,Ayala/Aiara,43.0761006,-3.0790182999999995,2,74
45,Azpeitia,43.183861799999995,-2.2657422,2,69
46,Añana,42.811254600000005,-2.9905109,1,75
47,Bakio,43.4284384,-2.8090387000000003,2,76
48,Baliarrain,43.0694191,-2.1283912999999997,1,81
49,Balmaseda,43.195853,-3.1966111,2,68
50,Barakaldo,43.29548,-2.9900933,2,61
51,Barrika,43.406626700000004,-2.9609879,2,74
52,Barrundia,42.9150153,-2.5028591000000002,1,65
53,Basauri,43.2341364,-2.891012,2,62
54,Baños de Ebro/Mañueta,42.529582899999994,-2.6789897000000003,1,83
55,Beasain,43.047326899999995,-2.2032868,2,61
56,Bedia,43.2084398,-2.8019783,2,78
57,Beizama,43.1340799,-2.2005399,1,83
58,Belauntza,43.135026700000004,-2.0503391,1,80
59,Berango,43.3628719,-2.9957746,2,64
60,Berantevilla,42.682852000000004,-2.8589444999999998,1,75
61,Berastegi,43.124149700000004,-1.9791585999999999,1,76
62,Bergara,43.117544200000005,-2.4133452,2,65
63,Bermeo,43.4194242,-2.7231562,2,71
64,Bernedo,42.626718700000005,-2.4980928,1,72
65,Berriatua,43.308944200000006,-2.4681645,1,73
66,Berriz,43.1690476,-2.57392,2,70
67,Berrobi,43.145580700000004,-2.0266424,1,78
68,Bidania-Goiatz,43.140600799999994,-2.160723,1,76
69,Bilbao,43.2630051,-2.9349915,2,62
70,Busturia,43.38234179999999,-2.6982633999999996,2,78
71,Campezo/Kanpezu,42.6866489,-2.3699285,1,67
72,Deba,42.9816718,-2.5664127,2,69
73,Derio,43.291694899999996,-2.8858821,2,69
74,Dima,43.143069399999995,-2.7508974,2,78
75,Donostia / San Sebastián,43.322421899999995,-1.9838889,2,62
76,Durango,43.1707065,-2.6334897,2,63
77,Ea,43.3804335,-2.5848533,1,82
78,Eibar,43.1842839,-2.4732748,2,62
79,Elantxobe,43.4031717,-2.6395034,1,83
80,Elburgo/Burgelu,42.8495927,-2.5448025000000003,1,70
81,Elciego,42.515380799999996,-2.6181739,1,82
82,Elduain,43.140688399999995,-2.0006998,1,69
83,Elgeta,43.136765600000004,-2.4874682999999997,1,76
84,Elgoibar,43.21435579999999,-2.4168588,2,65
85,Elorrio,43.130464399999994,-2.5426452999999998,2,69
86,Elvillar/Bilar,42.56903079999999,-2.5447226,1,81
87,Erandio,43.305598100000005,-2.9729697,2,59
88,Ereño,43.3558315,-2.6228516,1,84
89,Ermua,43.1862849,-2.5027614,2,60
90,Errenteria,43.312527100000004,-1.8986133,2,58
91,Errezil,43.1647321,-2.1743978,1,76
92,Erriberagoitia/Ribera Alta,42.819816100000004,-2.9379708,1,70
93,Errigoiti,43.3185225,-2.7247594,1,82
94,Eskoriatza,43.016836700000006,-2.5283464,2,66
95,Etxebarri,43.247416799999996,-2.8897724,2,63
96,Etxebarria,43.2542252,-2.4765923,1,76
97,Forua,43.3329632,-2.6761163,2,80
98,Fruiz,43.3279874,-2.7847277999999998,1,76
99,Gabiria,43.05025379999999,-2.2791464,1,78
100,Gaintza,43.053050299999995,-2.1331865000000003,1,83
101,Galdakao,43.2332639,-2.8453385,2,62
102,Galdames,43.254110299999994,-3.0976369999999998,1,79
103,Gamiz-Fika,43.3101943,-2.8093220000000003,2,76
104,Garai,43.1936552,-2.6114951,1,85
105,Gatika,43.3629994,-2.8737742,2,75
106,Gautegiz Arteaga,43.3680455,-2.6522978,1,81
107,Gaztelu,43.1164447,-2.0228291,1,86
108,Gernika-Lumo,43.3143628,-2.6778511000000003,2,67
109,Getaria,43.3044559,-2.2037374,2,75
110,Getxo,43.3479409,-3.0087671,2,64
111,Gizaburuaga,43.3309436,-2.5379481,1,80
112,Gordexola,43.1798646,-3.0739299,1,79
113,Gorliz,43.4139073,-2.9351773999999997,2,67
114,Güeñes,43.2104511,-3.0945498,2,67
115,Harana/Valle de Arana,42.756719700000005,-2.32071,1,74
116,Hernani,43.2661645,-1.9749167,2,64
117,Hernialde,43.154494799999995,-2.085194,1,77
118,Hondarribia,43.36244979999999,-1.7914288,2,63
119,Ibarra,43.1316471,-2.0622574,2,66
120,Ibarrangelu,43.3896126,-2.6311482,1,77
121,Idiazabal,43.0106787,-2.2336127999999995,2,71
122,Igorre,43.1642445,-2.7783435,2,71
123,Ikaztegieta,43.0945249,-2.1242678,1,80
124,Irun,43.3383176,-1.7888095000000002,2,60
125,Irura,43.1675342,-2.0672224,2,71
126,Iruraiz-Gauna,42.8309221,-2.4296269,1,70
127,Iruña Oka/Iruña de Oca,42.8246442,-2.8206006,2,69
128,Ispaster,43.3565296,-2.5531077,1,83
129,Itsasondo,43.067826600000004,-2.1672356,1,79
130,Iurreta,43.17631779999999,-2.6338582,2,66
131,Izurtza,43.1541734,-2.6399182999999997,1,81
132,Karrantza Harana/Valle de Carranza,43.238893299999994,-3.3577112000000002,2,77
133,Kortezubi,43.34088320000001,-2.6554179,1,79
134,Kripan,42.5919931,-2.5153877999999996,1,80
135,Kuartango,42.8863726,-2.9401422999999998,1,74
136,Labastida/Bastida,42.5903817,-2.7928697999999996,1,76
137,Lagrán,42.6255515,-2.5836433,1,83
138,Lanciego/Lantziego,42.56276810000001,-2.5126326,1,81
139,Lanestosa,43.2184716,-3.4391344,1,80
140,Lantarón,42.747825899999995,-2.9942273999999998,1,70
141,Lapuebla de Labarca,42.4934805,-2.5755974,1,81
142,Larrabetzu,43.2612471,-2.7959022,2,71
143,Larraul,43.1879341,-2.1023955,1,80
144,Lasarte-Oria,43.268464200000004,-2.0193784,2,62
145,Laudio/Llodio,43.143069200000006,-2.9624876,2,65
