,Código municipio,Municipio,2009_1,2017_2,2009_3,2009_4,2016_5,2009_6,2017_7,2009_8,2016_9,2013_10,2015_11,2017_12,2017_13,2017_14,2017_15,2017_16,2009_17,2001,2017_19,2016_20,2017_21,2005_22,2005_23,2016_24,2017_25,2005,2011_27,2017_28,2017_29,2017_30,2017_31,2017_32,2017_33,2017_34,2017_35,2017_36,2016_37,2013_38,2016_39,2016_40,2017_41,2016_42,2016_43,2016_44,2016_45,2016_46,2011_47,2017_48,2017_49,2011_50,2015_51,2009_52,2017_53,2017_54,2016_55,2016_56,2016_57,2009_58,2009_59,2017_60,2017_61,2006,2007,2017,2011_65,2016_66,2009_67
0,48001,Abadiño,43.75,"14,08","0,00","185,36","43,90","0,00","6,35","0,00","3,00","98,90","62,84","2,79","173,90","8,37","5,45","208,83","43,75","88,98","20,55","3,98","2,66","212,71","44,28","100,00","3,96","43,85","73,80","38,39","63,42","18,33","12,54","17,92","4,56","64,98","6,38","16,76","57,19","9,33","57,19","0,73","17,95","9,17","0,00","22,59","59,42","18,22","94,05","4,53","7.522,00","66,02","1,06","185,36","0,80","4,21","1,19","53,53","89,70","8,75","10,40","9,04","2,79","0,88","12,94","5,35","13,36","12,91","8,50"
1,20001,Abaltzisketa,25.0,"3,07","0,00","269,94","52,00","0,00","24,52","0,00","3,00","99,18","19,48","-15,29","151,23","6,13","3,07","28,43","25,00","100,00","60,18","0,00","0,00","261,93","49,18","0,00","9,09","52,75","71,60","36,81","73,94","18,35","2,70","5,41","35,14","56,76","12,27","16,82","165,39","0,00","165,39","0,88","0,00","0,00","0,00","18,64","50,18","13,62","100,00","3,98","327,00","74,44","0,00","269,94","-3,06","0,21","1,39","52,43","107,20","103,45","92,02","3,06","-15,29","6,53","10,73","7,57","21,29","25,79","14,93"
2,48002,Abanto y Ciérvana-Abanto Zierbena,30.77,"11,51","0,00","250,51","88,80","0,00","3,42","9,77","3,00","99,45","56,19","-3,35","174,27","6,59","2,82","589,80","30,77","94,70","26,64","3,13","3,14","480,39","92,71","145,16","3,35","42,44","67,20","35,56","55,27","17,24","17,56","13,13","1,98","67,33","5,65","13,72","28,05","6,19","28,05","0,76","0,42","0,00","56,53","24,26","61,09","17,39","84,89","1,98","9.543,00","80,36","1,46","250,51","3,25","14,68","2,10","35,72","78,40","8,60","14,60","6,29","-3,35","0,82","8,60","-0,69","11,36","32,58","18,13"
3,20002,Aduna,80.0,"14,86","0,00","326,34","42,20","46,62","13,52","0,00","3,00","99,18","37,23","-4,24","151,99","2,12","2,12","67,05","80,00","100,00","27,52","0,00","0,00","301,70","39,12","0,00","5,88","52,75","66,10","44,59","70,40","13,98","14,43","31,96","4,12","49,48","12,74","21,61","584,20","0,00","584,20","1,54","116,53","0,00","0,00","23,45","62,89","18,30","100,00","0,85","472,00","81,70","2,13","326,34","2,12","4,56","4,26","65,34","113,40","5,03","37,30","6,36","-4,24","1,59","8,34","27,57","16,82","12,62","24,10"
4,20016,Aia,33.33,"13,08","0,00","114,60","40,90","0,00","5,29","4,98","3,00","100,00","35,35","0,48","149,92","3,39","2,91","37,76","33,33","98,11","51,55","4,89","4,80","331,52","64,61","70,00","2,74","28,60","73,40","15,98","68,12","16,66","13,57","16,28","27,91","42,25","13,56","18,48","686,99","4,90","686,99","0,77","369,66","0,00","57,64","16,74","56,58","19,75","100,00","4,75","2.083,00","75,42","0,00","114,60","-2,88","0,89","2,01","51,42","108,90","4,49","9,97","10,08","0,48","3,98","20,39","13,89","22,76","15,24","14,97"
5,20003,Aizarnazabal,20.0,"6,46","0,00","338,98","45,30","0,00","9,16","0,00","2,00","100,00","17,01","2,59","206,50","6,46","1,29","118,20","20,00","96,88","25,19","12,90","0,00","198,13","24,91","0,00","5,71","28,80","73,40","7,75","62,74","12,94","5,56","20,83","20,83","52,78","7,75","22,25","498,85","0,00","498,85","0,74","36,22","0,00","0,00","22,66","51,51","13,79","100,00","6,34","773,00","75,94","0,00","338,98","-3,88","4,59","6,57","36,39","110,80","4,88","16,95","6,47","2,59","4,53","22,03","21,16","8,09","26,04","40,98"
6,48911,Ajangiz,66.67,"2,12","0,00","64,44","15,90","0,00","10,65","88,89","3,00","100,00","9,71","-4,22","170,07","2,12","0,00","66,57","66,67","100,00","2,92","0,00","0,00","249,98","33,18","0,00","0,00","41,51","72,10","21,19","66,90","21,31","7,69","7,69","26,92","57,69","6,36","14,14","475,29","0,00","475,29","0,74","40,08","0,00","0,00","24,34","67,54","26,01","100,00","1,05","474,00","75,12","0,00","64,44","-4,22","1,90","4,63","57,16","130,60","9,32","33,33","10,55","-4,22","10,03","15,05","7,24","13,86","31,75","32,79"
7,20004,Albiztur,66.67,"12,31","0,00","215,87","41,80","31,75","20,46","0,00","3,00","99,18","38,04","-6,25","178,49","0,00","0,00","25,18","66,67","98,86","56,67","0,00","0,00","359,25","63,51","0,00","15,38","52,75","71,80","9,23","80,79","20,00","14,29","20,00","31,43","34,29","12,31","20,62","169,48","0,00","169,48","1,17","34,38","0,00","0,00","18,92","52,12","20,46","91,67","1,25","320,00","84,13","0,00","215,87","0,00","0,67","0,47","65,30","119,50","1,79","3,17","9,38","-6,25","3,93","6,95","5,96","25,15","32,96","19,61"
8,20005,Alegia,59.64,"17,84","0,00","360,57","45,10","11,43","5,32","14,29","3,00","99,18","87,42","-4,01","151,23","10,93","2,88","225,29",60.61,"95,00","51,13","5,78","5,73","301,24","43,29","0,00","4,65","52,75","59,90","22,44","75,65","20,68","16,42","17,16","1,49","64,93","5,75","17,47","50,61","5,73","50,61","0,65","0,00","0,00","0,00","19,49","55,51","16,41","100,00","10,77","1.746,00","84,16","0,00","360,57","2,86","2,62","0,26","71,23","90,40",19.96,36.58,"6,30","-4,01","1,55","5,86","3,50","17,68","25,00","7,25"
9,1001,Alegría-Dulantzi,75.0,"3,81","0,00","128,96","34,20","0,00","3,78","0,00","3,00","100,00","53,37","2,75","135,99","3,12","0,69","146,60","75,00","91,30","47,37","3,50","0,00","269,73","13,71","112,00","4,85","21,02","78,50","18,37","61,39","10,44","15,25","11,30","9,04","64,41","4,16","22,38","185,86","6,84","185,86","0,70","0,00","0,00","82,24","21,05","66,05","21,57","96,53","8,93","2.913,00","82,56","0,00","128,96","10,99","5,85","56,06","32,91","112,30","9,94","47,90","7,55","2,75","4,55","15,25","26,38","11,93","10,73","8,85"
