,Municipio,latitud,longitud,Prediccion,part_pred_2019,Censo,Part_Votos
0,Abadiño,43.1526506,-2.6079995,2,66,5841.0,3855
1,Abaltzisketa,43.047842,-2.1052186,1,78,252.0,196
2,Abanto y Ciérvana-Abanto Zierbena,43.3169917,-3.0742539,2,64,7807.0,4996
3,Aduna,43.20381679999999,-2.0500990000000003,1,74,343.0,253
4,Aia,43.236547,-2.1486667,2,77,1540.0,1185
5,Aizarnazabal,43.2557918,-2.2362989,1,81,542.0,439
6,Ajangiz,43.3095149,-2.6615317000000003,1,78,382.0,297
7,Albiztur,43.1294954,-2.1374208,1,71,248.0,176
8,Alegia,43.1004352,-2.0983582000000003,2,72,1258.0,905
9,Alegría-Dulantzi,42.8424145,-2.512674,2,68,1986.0,1350
10,Alkiza,43.1725845,-2.1089901,1,73,259.0,189
11,Alonsotegi,43.2460224,-2.9890455,2,70,2316.0,1621
12,Altzaga,43.0645573,-2.1543131,1,84,116.0,97
13,Altzo,43.1004025,-2.0842078,1,74,309.0,228
14,Amezketa,43.0489646,-2.0878104,1,75,720.0,540
15,Amorebieta-Etxano,43.2164193,-2.7358695,2,65,14314.0,9304
16,Amoroto,43.3267938,-2.5132747,1,75,334.0,250
17,Amurrio,43.0525066,-3.000896,2,68,8120.0,5521
18,Andoain,43.2183341,-2.019888,2,63,11442.0,7208
19,Anoeta,43.1620711,-2.0712454,2,70,1517.0,1061
20,Antzuola,43.0991881,-2.3819341,2,72,1653.0,1190
21,Arakaldo,43.152773,-2.9349498,1,74,112.0,82
22,Arama,43.06346729999999,-2.1655819,1,74,147.0,108
23,Aramaio,43.0352061,-2.5857615000000003,2,77,1191.0,917
24,Arantzazu,42.9791292,-2.3990537,1,82,295.0,241
25,Areatza,43.1214494,-2.7694128,1,80,890.0,712
26,Aretxabaleta,43.0359732,-2.5036785,2,63,5404.0,3404
27,Armiñón,42.722587,-2.8722115,1,73,174.0,127
28,Arraia-Maeztu,42.7402633,-2.4475475,1,68,587.0,399
29,Arrankudiaga,43.17711920000001,-2.934703,1,81,776.0,628
30,Arrasate/Mondragón,43.0656783,-2.4900779,2,66,17446.0,11514
31,Arratzu,43.3189596,-2.6452172000000003,1,75,328.0,246
32,Arratzua-Ubarrundia,42.888113,-2.5922529,1,70,778.0,544
33,Arrieta,43.3416679,-2.7693167,1,77,456.0,351
34,Arrigorriaga,43.2065921,-2.8873537,2,61,9655.0,5889
35,Artea,43.1334436,-2.7843203,1,81,608.0,492
36,Artzentales,43.2514342,-3.2204577000000003,1,77,612.0,471
37,Artziniega,43.1290166,-3.1414572999999995,2,73,1408.0,1027
38,Asparrena,42.8861126,-2.2851266,1,73,1268.0,925
39,Asteasu,43.1928306,-2.0953614,2,74,1109.0,820
40,Astigarraga,43.2815684,-1.9474769,2,66,4343.0,2866
41,Ataun,42.9776634,-2.1813897,2,76,1266.0,962
42,Atxondo,43.1302284,-2.5856042,2,75,1111.0,833
43,Aulesti,43.296423,-2.5628139,1,82,540.0,442
44,Ayala/Aiara,43.0761006,-3.0790182999999995,2,74,2271.0,1680
45,Azpeitia,43.1838618,-2.2657422,2,69,11062.0,7632
46,Añana,42.81125460000001,-2.9905109,1,75,140.0,105
47,Bakio,43.4284384,-2.8090387000000003,2,76,2040.0,1550
48,Baliarrain,43.0694191,-2.1283913,1,81,92.0,74
49,Balmaseda,43.195853,-3.1966111,2,68,6004.0,4082
50,Barakaldo,43.29548,-2.9900933,2,61,79614.0,48564
51,Barrika,43.4066267,-2.9609879,2,74,1207.0,893
52,Barrundia,42.9150153,-2.5028591,1,65,715.0,464
53,Basauri,43.2341364,-2.891012,2,62,33528.0,20787
54,Baños de Ebro/Mañueta,42.5295829,-2.6789897000000003,1,83,230.0,190
55,Beasain,43.0473269,-2.2032868,2,61,9964.0,6078
56,Bedia,43.2084398,-2.8019783,2,78,840.0,655
57,Beizama,43.1340799,-2.2005399,1,83,125.0,103
58,Belauntza,43.1350267,-2.0503391,1,80,198.0,158
59,Berango,43.3628719,-2.9957746,2,64,5303.0,3393
60,Berantevilla,42.682852,-2.8589445,1,75,371.0,278
61,Berastegi,43.1241497,-1.9791586,1,76,844.0,641
62,Bergara,43.11754420000001,-2.4133452,2,65,11580.0,7527
63,Bermeo,43.4194242,-2.7231562,2,71,13259.0,9413
64,Bernedo,42.62671870000001,-2.4980928,1,72,432.0,311
65,Berriatua,43.308944200000006,-2.4681645,1,73,875.0,638
66,Berriz,43.1690476,-2.57392,2,70,3537.0,2475
67,Berrobi,43.1455807,-2.0266424,1,78,443.0,345
68,Bidania-Goiatz,43.1406008,-2.160723,1,76,384.0,291
69,Bilbao,43.2630051,-2.9349915,2,62,273513.0,169578
70,Busturia,43.38234179999999,-2.6982634,2,78,1337.0,1042
71,Campezo/Kanpezu,42.6866489,-2.3699285,1,67,841.0,563
72,Deba,42.9816718,-2.5664127,2,69,4295.0,2963
73,Derio,43.2916949,-2.8858821,2,69,4878.0,3365
74,Dima,43.1430694,-2.7508974,2,78,1144.0,892
75,Donostia / San Sebastián,43.3224219,-1.9838889,2,62,147061.0,91177
76,Durango,43.1707065,-2.6334897,2,63,22196.0,13983
77,Ea,43.3804335,-2.5848533,1,82,715.0,586
78,Eibar,43.1842839,-2.4732748,2,62,21400.0,13268
79,Elantxobe,43.4031717,-2.6395034,1,83,327.0,271
80,Elburgo/Burgelu,42.8495927,-2.5448025000000003,1,70,469.0,328
81,Elciego,42.5153808,-2.6181739,1,82,799.0,655
82,Elduain,43.1406884,-2.0006998,1,69,174.0,120
83,Elgeta,43.1367656,-2.4874683,1,76,865.0,657
84,Elgoibar,43.21435579999999,-2.4168588,2,65,8772.0,5701
85,Elorrio,43.1304644,-2.5426453,2,69,5741.0,3961
86,Elvillar/Bilar,42.56903079999999,-2.5447226,1,81,267.0,216
87,Erandio,43.30559810000001,-2.9729697,2,59,18939.0,11174
88,Ereño,43.3558315,-2.6228516,1,84,218.0,183
89,Ermua,43.1862849,-2.5027614,2,60,12831.0,7698
90,Errenteria,43.3125271,-1.8986133,2,58,30840.0,17887
91,Errezil,43.1647321,-2.1743978,1,76,447.0,339
92,Erriberagoitia/Ribera Alta,42.8198161,-2.9379708,1,70,594.0,415
93,Errigoiti,43.3185225,-2.7247594,1,82,426.0,349
94,Eskoriatza,43.016836700000006,-2.5283464,2,66,3144.0,2075
95,Etxebarri,43.2474168,-2.8897724,2,63,8358.0,5265
96,Etxebarria,43.2542252,-2.4765923,1,76,606.0,460
97,Forua,43.3329632,-2.6761163,2,80,767.0,613
98,Fruiz,43.3279874,-2.7847278,1,76,415.0,315
99,Gabiria,43.05025379999999,-2.2791464,1,78,393.0,306
100,Gaintza,43.0530503,-2.1331865000000003,1,83,101.0,83
101,Galdakao,43.2332639,-2.8453385,2,62,24026.0,14896
102,Galdames,43.2541103,-3.097637,1,79,678.0,535
103,Gamiz-Fika,43.3101943,-2.8093220000000003,2,76,1124.0,854
104,Garai,43.1936552,-2.6114951,1,85,237.0,201
105,Gatika,43.3629994,-2.8737742,2,75,1280.0,960
106,Gautegiz Arteaga,43.3680455,-2.6522978,1,81,694.0,562
107,Gaztelu,43.1164447,-2.0228291,1,86,121.0,104
108,Gernika-Lumo,43.3143628,-2.6778511000000003,2,67,12617.0,8453
109,Getaria,43.3044559,-2.2037374,2,75,2112.0,1584
110,Getxo,43.3479409,-3.0087671,2,64,62703.0,40129
111,Gizaburuaga,43.3309436,-2.5379481,1,80,160.0,128
112,Gordexola,43.1798646,-3.0739299,1,79,1364.0,1077
113,Gorliz,43.4139073,-2.9351774,2,67,4433.0,2970
114,Güeñes,43.2104511,-3.0945498,2,67,5175.0,3467
115,Harana/Valle de Arana,42.75671970000001,-2.32071,1,74,218.0,161
116,Hernani,43.2661645,-1.9749167,2,64,15332.0,9812
117,Hernialde,43.1544948,-2.085194,1,77,254.0,195
118,Hondarribia,43.36244979999999,-1.7914288,2,63,13255.0,8350
119,Ibarra,43.1316471,-2.0622574,2,66,3224.0,2127
120,Ibarrangelu,43.3896126,-2.6311482,1,77,558.0,429
121,Idiazabal,43.0106787,-2.2336127999999995,2,71,1734.0,1231
122,Igorre,43.1642445,-2.7783435,2,71,3148.0,2235
123,Ikaztegieta,43.0945249,-2.1242678,1,80,367.0,293
124,Irun,43.3383176,-1.7888095000000002,2,60,46709.0,28025
125,Irura,43.1675342,-2.0672224,2,71,1224.0,869
126,Iruraiz-Gauna,42.8309221,-2.4296269,1,70,421.0,294
127,Iruña Oka/Iruña de Oca,42.8246442,-2.8206006,2,69,2353.0,1623
128,Ispaster,43.3565296,-2.5531077,1,83,549.0,455
129,Itsasondo,43.0678266,-2.1672356,1,79,475.0,375
130,Iurreta,43.17631779999999,-2.6338582,2,66,2892.0,1908
131,Izurtza,43.1541734,-2.6399183,1,81,193.0,156
132,Karrantza Harana/Valle de Carranza,43.2388933,-3.3577112,2,77,2316.0,1783
133,Kortezubi,43.34088320000001,-2.6554179,1,79,346.0,273
